age,breed,centreLocation,gender,hasPhoto,hasVideo,icon_childFriendly,icon_crossBreed,icon_dogFriendly,icon_gentleGiant,icon_hasBasicHousetraining,icon_hasMedicalNeeds,icon_livewire,icon_livingOffsite,icon_lovesCuddles,icon_lovesToysGames,icon_needsTraining,icon_smallButSparky,icon_strangerFriendly,icon_veryClever,icon_willWorkForFood,icon_youngAtHeart,isNewDog,name,numberOfPhotos,reserved
 '8+ Years', 'Chihuahua: Long Hr ', 'West Calder', 'Female', true, false,,,,,Has basic housetraining,,,Living off site,,,Needs some training,Small but sparky,,,,, true, 'Kimberley Ann', 2, false
 '2 to 5 Years', 'Staffordshire Cross (SBT)', 'Basildon', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Kiko', 5, false
 '5 to 7 Years', 'A Crossbreed ', 'Merseyside', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,,,Has basic housetraining,,,,Especially likes cuddles,,,,Stranger friendly,Bright spark/very clever,,, false, 'Kika', 3, true
 '5 to 7 Years', 'Lurcher ', 'Evesham', 'Female', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,,,,,,,,,,, true, 'Kiera', 1, false
 '2 to 5 Years', 'A Crossbreed ', 'Merseyside', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,Especially likes cuddles,,Needs some training,,,,Loves treats/will work for food,, false, 'Kiea', 5, false
 '5 to 7 Years', 'A Crossbreed ', 'Loughborough', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,,Needs some training,,,,,, false, 'Kiara', 4, false
 '8+ Years', 'Border Collie ', 'Ballymena (N.Ireland)', 'Female', true, false,,,,,,,,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,Young at heart, false, 'Kezzie', 3, false
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'Manchester', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,,,Live wire,,Especially likes cuddles,,,,Stranger friendly,,,, true, 'Kenzo', 3, true
 '8+ Years', 'Terrier Cross', 'Bridgend', 'Male', true, false,,Crossbreed,,,,,,,,,,Small but sparky,,,,, false, 'Ken', 1, true
 '2 to 5 Years', 'Terrier Cross', 'Salisbury', 'Male', true, false,,Crossbreed,,,,,,,,,,,Stranger friendly,,,, true, 'Keano', 1, false
 '0 to 6 Months', 'Akita', 'Ballymena (N.Ireland)', 'Female', true, false,,Crossbreed,,,,,,,Especially likes cuddles,,Needs some training,,,Bright spark/very clever,,, true, 'Love', 1, false
 '0 to 6 Months', 'German Shepherd Dog (GSD / Alsatian)', 'Newbury', 'Female', false, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Kaya', 0, false
 '2 to 5 Years', 'Dobermann  ', 'Glasgow', 'Female', false, false,,,,Gentle giant,Has basic housetraining,,,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,,, true, 'Kalie', 0, false
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'Loughborough', 'Female', true, false,,,Dog friendly,,,,Live wire,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Lacie', 2, true
 '8+ Years', 'Alaskan Malamute', 'Loughborough', 'Male', true, true,,,,,Has basic housetraining,,,,,,Needs some training,,,Bright spark/very clever,,, false, 'Kai', 5, true
 '2 to 5 Years', 'Dogue De Bordeaux', 'Basildon', 'Female', true, false,,Crossbreed,Dog friendly,Gentle giant,Has basic housetraining,,,Living off site,,,,,,,,, true, 'Juno', 3, false
 '8+ Years', 'A Crossbreed ', 'Manchester', 'Female', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Juniper', 5, false
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Basildon', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,Especially likes cuddles,,,Small but sparky,Stranger friendly,,,, true, 'June', 1, true
 '8+ Years', 'Lurcher ', 'London (Harefield)', 'Female', true, false,,,,,,,,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,Young at heart, false, 'June', 3, false
 '2 to 5 Years', 'A Crossbreed ', 'Kenilworth', 'Female', true, true,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Jumble', 4, false
 '5 to 7 Years', 'Staffordshire Bull Terrier (SBT)', 'Shrewsbury', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,Has basic housetraining,Medical needs,,,,,,Small but sparky,Stranger friendly,,Loves treats/will work for food,, false, 'Julio', 3, false
 '6 to 12 Months', 'Border Collie ', 'West Calder', 'Female', true, false,,,,,,,Live wire,,Especially likes cuddles,,Needs some training,,Stranger friendly,Bright spark/very clever,,, false, 'Josie', 4, true
 '1 to 2 Years', 'Lab Cross', 'Merseyside', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Jonjo', 3, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Ballymena (N.Ireland)', 'Male', true, false,,Crossbreed,,,,Medical needs,,,,,Needs some training,,,,,, false, 'Johnny', 2, false
 '2 to 5 Years', 'Lurcher ', 'London (Harefield)', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,Bright spark/very clever,,, false, 'Joey', 3, false
 '5 to 7 Years', 'A Crossbreed ', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Kale', 5, true
 '2 to 5 Years', 'American Bulldog', 'Manchester', 'Male', false, false,,,,,,,,,,,Needs some training,,,,Loves treats/will work for food,, true, 'Junior', 0, false
 '2 to 5 Years', 'Shar-Pei  ', 'Loughborough', 'Female', true, true,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,,, false, 'Jody', 5, false
 '2 to 5 Years', 'Staffordshire Cross (SBT)', 'Loughborough', 'Female', true, false,,Crossbreed,,,,,,,Especially likes cuddles,,Needs some training,,,,Loves treats/will work for food,, false, 'Jess', 2, true
 '2 to 5 Years', 'A Crossbreed ', 'West Calder', 'Female', true, true,Child friendly (under 12 yrs),Crossbreed,,,,,Live wire,Living off site,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Jess', 5, true
 '1 to 2 Years', 'Beagle  ', 'Darlington', 'Male', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,,Needs some training,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, false, 'Jerry', 3, true
 '8+ Years', 'Collie Cross (Border)', 'Shrewsbury', 'Female', true, false,,Crossbreed,,,,,,,Especially likes cuddles,,,,,,,, true, 'Jenny', 2, false
 '2 to 5 Years', 'Staffordshire Cross (SBT)', 'Loughborough', 'Female', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Layla', 5, false
 '1 to 2 Years', 'A Crossbreed ', 'Manchester', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,,,Stranger friendly,,Loves treats/will work for food,, true, 'Jeff', 5, true
 '5 to 7 Years', 'A Crossbreed ', 'Canterbury', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,,,,Loves toys/games,,Small but sparky,,Bright spark/very clever,,Young at heart, true, 'Jd', 2, false
 '2 to 5 Years', 'Greyhound  ', 'London (Harefield)', 'Male', true, false,,,Dog friendly,,,,,,Especially likes cuddles,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Jay', 2, false
 '2 to 5 Years', 'Greyhound  ', 'Loughborough', 'Female', true, false,,,,,,,,,,,Needs some training,,,,,, true, 'Jayne', 3, false
 '2 to 5 Years', 'Terrier: Maltese', 'Basildon', 'Male', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,,Living off site,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,,, true, 'Joey', 5, true
 '6 to 12 Months', 'A Crossbreed ', 'Shoreham', 'Male', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,Living off site,,,,Small but sparky,,,,, true, 'Jax', 3, true
 '2 to 5 Years', 'Lurcher ', 'Leeds', 'Male', true, true,,,Dog friendly,,Has basic housetraining,,,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,, false, 'Jasper', 5, false
 '8+ Years', 'Border Collie ', 'Leeds', 'Male', true, true,,,,,Has basic housetraining,,,,Especially likes cuddles,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Jasper', 5, false
 '5 to 7 Years', 'Pug ', 'Leeds', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,Has basic housetraining,,,,,,,Small but sparky,Stranger friendly,,Loves treats/will work for food,, true, 'Jasmine', 2, true
 '2 to 5 Years', 'Lab Cross', 'Ballymena (N.Ireland)', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Joe', 4, false
 '2 to 5 Years', 'Staffordshire Cross (SBT)', 'Leeds', 'Female', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,Stranger friendly,,,, false, 'Jess', 5, true
 '2 to 5 Years', 'Lurcher ', 'Manchester', 'Female', true, false,,,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Lucy', 1, false
 '1 to 2 Years', 'A Crossbreed ', 'Bridgend', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Jakey', 5, true
 '2 to 5 Years', 'Collie Cross (Border)', 'Basildon', 'Male', true, false,,Crossbreed,,,,,Live wire,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Jake', 5, false
 '5 to 7 Years', 'American Bulldog', 'Loughborough', 'Male', true, true,,Crossbreed,,Gentle giant,,,,,Especially likes cuddles,,Needs some training,,,,Loves treats/will work for food,, false, 'Jake', 5, false
 '2 to 5 Years', 'Terrier Cross', 'Evesham', 'Male', true, false,,Crossbreed,,,,,Live wire,Living off site,,,Needs some training,,,,Loves treats/will work for food,, false, 'Jake', 5, true
 '8+ Years', 'Terrier Cross', 'Manchester', 'Female', true, false,,Crossbreed,,,,,,Living off site,,,,,,,,Young at heart, false, 'Lady', 4, false
 '2 to 5 Years', 'Border Collie ', 'Kenilworth', 'Male', true, false,,,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Jackson', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Canterbury', 'Female', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Jackie', 4, false
 '1 to 2 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Shrewsbury', 'Female', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,,,, false, 'Izzy', 3, false
 '2 to 5 Years', 'Shar-Pei  ', 'Bridgend', 'Female', true, false,,,,,Has basic housetraining,,,,,,,,,,Loves treats/will work for food,, true, 'Izzabella Bear', 2, false
 '2 to 5 Years', 'Dobermann  ', 'Snetterton', 'Female', true, false,,,,,,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Isla', 2, false
 '2 to 5 Years', 'Border Collie ', 'Kenilworth', 'Female', true, false,,,Dog friendly,,,,,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Inky', 4, false
 '5 to 7 Years', 'Border Collie ', 'Merseyside', 'Female', true, false,,,,,,,,,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Indy', 3, false
 '2 to 5 Years', 'Lurcher ', 'Darlington', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Indie', 5, false
 '2 to 5 Years', 'Lurcher ', 'Glasgow', 'Female', true, false,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,Stranger friendly,,,, false, 'Indie', 3, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Bridgend', 'Female', true, false,,Crossbreed,,,,,,,,Loves toys/games,,,,,Loves treats/will work for food,, false, 'Ice Cream', 5, true
 '1 to 2 Years', 'A Crossbreed ', 'Newbury', 'Female', true, false,,Crossbreed,Dog friendly,,,,Live wire,,,,Needs some training,Small but sparky,,Bright spark/very clever,Loves treats/will work for food,, false, 'Holly', 5, false
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'Manchester', 'Female', false, false,,,Dog friendly,,,,,,,Loves toys/games,,,Stranger friendly,,,, true, 'Marley', 0, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Salisbury', 'Male', true, false,,,,,,,Live wire,,,,Needs some training,,,Bright spark/very clever,,, false, 'Marvel', 2, false
 '2 to 5 Years', 'Staffordshire Bull Terrier (SBT)', 'Bridgend', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Mickey Mouse', 5, true
 '8+ Years', 'A Crossbreed ', 'Merseyside', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,,,,Stranger friendly,,,, true, 'Misty', 3, false
 '2 to 5 Years', 'Bulldog: French', 'Bridgend', 'Female', false, false,,,,,,,,,Especially likes cuddles,,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Jane', 0, true
 '8+ Years', 'Akita', 'West Calder', 'Female', true, true,,Crossbreed,,Gentle giant,Has basic housetraining,,,,Especially likes cuddles,Loves toys/games,,,Stranger friendly,,,, false, 'Nancy', 2, false
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Snetterton', 'Female', true, false,,Crossbreed,,,,,,,,,Needs some training,Small but sparky,,,Loves treats/will work for food,, true, 'Ivy', 1, false
 '0 to 6 Months', 'A Crossbreed ', 'West Calder', 'Female', true, false,,Crossbreed,Dog friendly,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,Small but sparky,,,,, true, 'Nala', 1, true
 '2 to 5 Years', 'Greyhound  ', 'Newbury', 'Male', true, false,,,,,,,,,,,,,,Bright spark/very clever,,, true, 'James', 5, false
 '8+ Years', 'Jack Russell Terrier (JRT)', 'Loughborough', 'Male', true, false,,,,,,,,,,Loves toys/games,,,,,,, false, 'Patch', 3, true
 '5 to 7 Years', 'Jack Russell Terrier (JRT)', 'West Calder', 'Male', true, false,,,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,Small but sparky,,,,, true, 'Patch', 1, false
 '8+ Years', 'Jack Russell Terrier (JRT)', 'Basildon', 'Male', true, false,,Crossbreed,,,,,,,Especially likes cuddles,,,,Stranger friendly,,Loves treats/will work for food,Young at heart, true, 'Patch', 5, false
 '8+ Years', 'Border Collie ', 'Canterbury', 'Male', true, false,,,Dog friendly,Gentle giant,,,,,,,,,,,Loves treats/will work for food,Young at heart, true, 'Patch', 2, true
 '2 to 5 Years', 'Terrier: Yorkshire ', 'Glasgow', 'Female', false, false,,,,,,Medical needs,,,,Loves toys/games,,Small but sparky,,,,, true, 'Margaret', 0, false
 '5 to 7 Years', 'Greyhound  ', 'Newbury', 'Female', true, false,Child friendly (under 12 yrs),,,,,,,,,,Needs some training,,,,,, true, 'Pippa', 5, false
 '8+ Years', 'A Crossbreed ', 'Leeds', 'Female', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,,,Especially likes cuddles,,,,Stranger friendly,,,, true, 'Pip', 1, true
 '2 to 5 Years', 'Siberian Husky  ', 'Glasgow', 'Female', false, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,,,Stranger friendly,,,, true, 'Phoenix', 0, true
 '5 to 7 Years', 'Staffordshire Cross (SBT)', 'Loughborough', 'Male', true, true,,Crossbreed,,,,,Live wire,,Especially likes cuddles,Loves toys/games,,,,,,, false, 'Phil', 5, false
 '2 to 5 Years', 'Boxer  ', 'Loughborough', 'Male', true, true,,Crossbreed,Dog friendly,Gentle giant,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,,, false, 'Milo', 5, true
 '5 to 7 Years', 'Staffordshire Bull Terrier (SBT)', 'West Calder', 'Male', true, true,,,,,Has basic housetraining,,,,Especially likes cuddles,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Perry', 5, false
 '2 to 5 Years', 'A Crossbreed ', 'West Calder', 'Male', true, false,,Crossbreed,,,,,Live wire,,Especially likes cuddles,,,,Stranger friendly,,Loves treats/will work for food,, true, 'Percy', 1, false
 '8+ Years', 'Jack Russell Terrier (JRT)', 'Salisbury', 'Female', true, false,,,,,,,,,,,,,,,,, true, 'Molly', 1, false
 '5 to 7 Years', 'Chihuahua: Short Hr', 'Salisbury', 'Female', true, false,,,,,,,,,,,Needs some training,,,Bright spark/very clever,,, true, 'Penelope', 1, false
 '8+ Years', '', 'Newbury', 'Female', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,Stranger friendly,Bright spark/very clever,,, true, 'Peggy', 5, false
 '2 to 5 Years', 'Beagle  ', 'Ballymena (N.Ireland)', 'Female', true, false,,Crossbreed,,,,,,,,,Needs some training,,,,,, false, 'Peaches', 1, false
 '8+ Years', 'Collie Cross (Border)', 'Salisbury', 'Male', true, false,,Crossbreed,,Gentle giant,,,,,Especially likes cuddles,,,,Stranger friendly,,,Young at heart, true, 'Ollie (And Bounty)', 1, false
 '6 to 12 Months', 'Collie Cross (Border)', 'Loughborough', 'Female', true, false,,Crossbreed,,,,,,,,,Needs some training,,,Bright spark/very clever,,, true, 'Jalapeno', 2, true
 '1 to 2 Years', 'Bulldog: English', 'Merseyside', 'Male', true, false,,,,,,Medical needs,Live wire,,,Loves toys/games,Needs some training,,,,,, true, 'Patch', 3, true
 '0 to 6 Months', 'Bichon Frise ', 'Bridgend', 'Female', true, false,,,,,,,Live wire,,Especially likes cuddles,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Papaya', 1, false
 '1 to 2 Years', 'A Crossbreed ', 'Salisbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,,Needs some training,,,,,, false, 'Panda', 2, false
 '8+ Years', 'A Crossbreed ', 'Kenilworth', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Paddy', 5, false
 '2 to 5 Years', 'Labrador', 'West Calder', 'Male', true, false,Child friendly (under 12 yrs),,Dog friendly,,Has basic housetraining,,Live wire,Living off site,Especially likes cuddles,,Needs some training,,,,,, true, 'Pablo', 1, true
 '1 to 2 Years', 'Lurcher ', 'Evesham', 'Male', true, false,,Crossbreed,,,,,,,,,Needs some training,,,,Loves treats/will work for food,, false, 'Ozzie', 5, false
 '2 to 5 Years', 'Lurcher ', 'Basildon', 'Male', true, false,,Crossbreed,,,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Otis', 5, true
 '2 to 5 Years', 'Terrier: Bedlington', 'Snetterton', 'Male', false, false,,,Dog friendly,,,,,,,Loves toys/games,,,Stranger friendly,Bright spark/very clever,Loves treats/will work for food,, true, 'Otis', 0, false
 '2 to 5 Years', 'Terrier: Yorkshire ', 'Merseyside', 'Male', true, false,,,,,,,Live wire,,,,Needs some training,Small but sparky,,,,, false, 'Pip', 4, false
 '2 to 5 Years', 'Terrier: Border ', 'Shoreham', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,Bright spark/very clever,Loves treats/will work for food,, true, 'Otis', 5, true
 '8+ Years', 'West Highland White Terrier  ', 'Merseyside', 'Male', true, false,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,,,Young at heart, true, 'Oscar', 2, true
 '5 to 7 Years', 'Bichon Frise ', 'Leeds', 'Male', true, false,,,Dog friendly,,Has basic housetraining,,Live wire,,,,Needs some training,,,,,, false, 'Oscar', 5, false
 '2 to 5 Years', 'Lurcher ', 'Leeds', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,,,,,,, false, 'Oscar', 5, false
 '2 to 5 Years', 'Pug ', 'Bridgend', 'Male', true, false,,Crossbreed,,,,,,,Especially likes cuddles,,,,,,Loves treats/will work for food,, false, 'Ollie', 1, false
 '8+ Years', 'A Crossbreed ', 'Glasgow', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,Young at heart, false, 'Ollie', 4, false
 '8+ Years', 'Lurcher ', 'Kenilworth', 'Female', true, false,,Crossbreed,,,Has basic housetraining,,,Living off site,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Olivia', 5, false
 '2 to 5 Years', 'German Shepherd Dog (GSD / Alsatian)', 'Loughborough', 'Female', true, false,,,,,,,,,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, true, 'Penny', 3, true
 '8+ Years', 'Collie Cross (Border)', 'Manchester', 'Male', true, false,,Crossbreed,,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,Young at heart, false, 'Oliver', 4, false
 '5 to 7 Years', 'Lurcher ', 'Kenilworth', 'Male', true, true,,Crossbreed,,,,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Oliver', 5, false
 '5 to 7 Years', 'Lab Cross', 'Canterbury', 'Female', true, false,,Crossbreed,Dog friendly,,,,,Living off site,,,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Olive', 5, true
 '2 to 5 Years', 'Jack Russell Terrier (JRT)', 'Basildon', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,,Small but sparky,,,Loves treats/will work for food,, true, 'Olaf', 5, false
 '6 to 12 Months', 'Belgian Shepherd Dog: Malinois (BSD)', 'Kenilworth', 'Female', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Ocean', 5, false
 '8+ Years', 'Collie Cross (Border)', 'Manchester', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,,,Stranger friendly,,Loves treats/will work for food,Young at heart, true, 'Norman', 2, false
 '1 to 2 Years', 'A Crossbreed ', 'Manchester', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Noah', 5, false
 '0 to 6 Months', 'Collie Cross (Border)', 'Loughborough', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,,, true, 'Oti', 2, true
 '5 to 7 Years', '', 'Darlington', 'Female', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,,,, false, 'Nina', 5, false
 '5 to 7 Years', 'Collie Cross (Border)', 'Salisbury', 'Male', true, false,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,Bright spark/very clever,,, false, 'Oreo', 1, false
 '1 to 2 Years', 'A Crossbreed ', 'Ilfracombe', 'Female', true, true,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Nim', 5, false
 '5 to 7 Years', 'Staffordshire Bull Terrier (SBT)', 'Shrewsbury', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,,,Has basic housetraining,,,Living off site,Especially likes cuddles,,,,Stranger friendly,,,, false, 'Nina', 5, false
 '2 to 5 Years', 'Collie Cross (Border)', 'Bridgend', 'Female', true, false,,Crossbreed,,,,,,,,,,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Percy', 2, false
 '2 to 5 Years', 'Border Collie ', 'Ilfracombe', 'Female', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,Especially likes cuddles,Loves toys/games,,,,,,, false, 'Nim', 2, false
 '1 to 2 Years', 'Siberian Husky  ', 'Snetterton', 'Female', true, false,Child friendly (under 12 yrs),,,,,,Live wire,,,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, true, 'Jan', 3, true
 '5 to 7 Years', 'Lurcher ', 'Shoreham', 'Male', true, false,,Crossbreed,Dog friendly,Gentle giant,,,,,,,,,,,Loves treats/will work for food,, false, 'Niki', 4, false
 '6 to 12 Months', 'A Crossbreed ', 'Salisbury', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,Live wire,Living off site,,Loves toys/games,,,Stranger friendly,Bright spark/very clever,,, true, 'Patch', 1, true
 '1 to 2 Years', 'Bulldog: French', 'Newbury', 'Female', true, false,,Crossbreed,,,,,Live wire,Living off site,,,Needs some training,Small but sparky,,,Loves treats/will work for food,, false, 'Olive', 5, false
 '8+ Years', 'Border Collie ', 'Glasgow', 'Female', true, false,,,Dog friendly,,Has basic housetraining,,,,,Loves toys/games,,,,,Loves treats/will work for food,Young at heart, false, 'Nell', 1, false
 '2 to 5 Years', 'Dachshund: Std Smooth Hr ', 'Basildon', 'Female', true, false,,,,,,,,Living off site,,,Needs some training,Small but sparky,,,,, false, 'Nell', 5, false
 '8+ Years', 'A Crossbreed ', 'Kenilworth', 'Female', true, false,,Crossbreed,Dog friendly,,Has basic housetraining,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, false, 'Nelly', 4, false
 '5 to 7 Years', 'A Crossbreed ', 'Shrewsbury', 'Male', true, false,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,,Bright spark/very clever,,, false, 'Nb', 5, false
 '2 to 5 Years', 'Lurcher ', 'Snetterton', 'Male', true, false,,,Dog friendly,,,,Live wire,,,,Needs some training,,Stranger friendly,,Loves treats/will work for food,, false, 'Navy', 2, true
 '8+ Years', 'Siberian Husky  ', 'Basildon', 'Male', true, false,,Crossbreed,Dog friendly,Gentle giant,,,,,,Loves toys/games,Needs some training,,,,,, false, 'Nanuk', 5, true
 '8+ Years', 'A Crossbreed ', 'Merseyside', 'Female', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,Has basic housetraining,,,Living off site,Especially likes cuddles,,,,Stranger friendly,Bright spark/very clever,,, true, 'Nala', 2, true
 '6 to 12 Months', 'Border Collie ', 'Loughborough', 'Male', true, false,,,Dog friendly,,,,,,,,Needs some training,,,,,, true, 'Nacho', 5, false
 '2 to 5 Years', 'Terrier Cross', 'Kenilworth', 'Male', true, false,Child friendly (under 12 yrs),Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,,,Loves treats/will work for food,, true, 'Newt', 5, true
 '5 to 7 Years', 'Lab Cross', 'Loughborough', 'Male', true, true,,Crossbreed,,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,,,Bright spark/very clever,Loves treats/will work for food,, false, 'Nemo', 4, false
 '5 to 7 Years', 'Jack Russell Terrier (JRT)', 'Shrewsbury', 'Male', true, false,,,Dog friendly,,Has basic housetraining,,Live wire,,,Loves toys/games,Needs some training,Small but sparky,Stranger friendly,,,, false, 'Nacho', 5, false
 '2 to 5 Years', 'A Crossbreed ', 'Glasgow', 'Male', true, true,,Crossbreed,Dog friendly,,,,,,,Loves toys/games,Needs some training,,Stranger friendly,,,, false, 'Mylo', 5, false
